px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.60107	-7.32072	-2.69758	-2.59966	-0.563664	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.779714
6.73772	-7.22083	-2.79333	-2.61661	-0.551004	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.385417
6.7859	-7.11666	-2.47788	-2.56262	-0.41266	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	9.27618
6.89916	-7.02054	-2.50932	-2.5721	-0.398908	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.370479
7.02918	-6.94547	-2.55871	-2.60108	-0.410795	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.14661
7.16347	-6.83983	-2.64028	-2.60724	-0.392936	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.481507
7.23752	-6.74869	-2.41146	-2.57262	-0.300105	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	4.54521
7.36172	-6.64473	-2.48889	-2.57257	-0.28213	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.437698
7.52365	-6.58595	-2.74035	-2.63841	-0.368879	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.8478
7.6522	-6.50408	-2.78353	-2.64894	-0.360089	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.103019
7.76532	-6.42644	-2.69614	-2.65056	-0.332708	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.52172
7.88458	-6.36157	-2.66443	-2.66842	-0.333042	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.0642245
8.00382	-6.29298	-2.60194	-2.67607	-0.315472	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.221762
8.14024	-6.20506	-2.65384	-2.67983	-0.300509	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.219687
8.21104	-6.13174	-2.4022	-2.65177	-0.231925	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	3.36653
8.33201	-6.03779	-2.48523	-2.64236	-0.208661	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.525037
8.49261	-5.97014	-2.70718	-2.67897	-0.252501	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.12398
8.63728	-5.88977	-2.75159	-2.68591	-0.244322	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0809357
8.7191	-5.81085	-2.44104	-2.65303	-0.169405	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	4.10628
8.85002	-5.71568	-2.51024	-2.64368	-0.148814	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.344929
8.93325	-5.64699	-2.3378	-2.62359	-0.104088	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	1.74137
9.04884	-5.54875	-2.4214	-2.60512	-0.078227	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.571639
9.19885	-5.47343	-2.66781	-2.63369	-0.123732	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.3345
9.33624	-5.37839	-2.72018	-2.62678	-0.108653	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.180379
9.41121	-5.29305	-2.41413	-2.58542	-0.0343734	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	3.86116
9.53739	-5.19274	-2.48465	-2.57073	-0.0160036	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.266104
